sampleID	sample_title	bioproject_accession	X.organism	X.collection_date	X.env_biome	X.env_feature	X.env_material	X.geo_loc_name	X.host	X.lat_lon	Genotype	Phenotype	altitude	chem_administration	depth	elev	gravidity	host_age	host_blood_press_diast	host_blood_press_syst	host_body_habitat	host_body_product	host_body_temp	host_color	host_diet	host_disease	host_dry_mass	host_family_relationship	host_genotype	host_growth_cond	host_height	host_infra_specific_name	host_infra_specific_rank	host_last_meal	host_length	host_life_stage	host_phenotype	host_sex	host_shape	host_subject_id	host_substrate	host_taxid	host_tissue_sampled	host_tot_mass	isolation_source	misc_param	organism_count	oxy_stat_samp	perturbation	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_salinity	samp_size	samp_store_dur	samp_store_loc	samp_store_temp	samp_vol_we_dna_ext	source_material_id	temp	description
stool-2DSS__1	NA	NA	house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	MMP-9 KO	water	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
stool-2DSS__2	NA	NA	house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	WT	water	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
stool-2DSS__3	NA	NA	house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	WT	DSS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
stool-2DSS__5	NA	NA	house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	WT	DSS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
stool-2DSS__6	NA	NA	house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	MMP-9 KO	DSS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
stool-2DSS__7	NA	NA	house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	MMP-9 KO	water	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
stool-2DSS__8	NA	NA	house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	MMP-9 KO	DSS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
stool-2DSS__9	NA	NA	house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	MMP-9 KO	DSS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
stool-2DSS__10	NA	NA	house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	MMP-9 KO	water	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
stool-2DSS__11	NA	NA	house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	MMP-9 KO	DSS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
stool-2DSS__12	NA	NA	house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	WT	DSS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
stool-2DSS__13	NA	NA	house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	WT	water	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
stool-2DSS__14	NA	NA	house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	WT	water	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
stool-2DSS__16	NA	NA	house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	WT	water	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
stool-2DSS__18	NA	NA	house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	MMP-9 KO	water	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
stool-2DSS__19	NA	NA	house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	MMP-9 KO	DSS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
stool-2DSS__21	NA	NA	house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	WT	DSS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
stool-2DSS__23	NA	NA	house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	WT	water	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
stool-2DSS__24	NA	NA	house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	MMP-9 KO	water	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
stool-2DSS__25	NA	NA	house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	MMP-9 KO	DSS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
stool-2DSS__27	NA	NA	house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	WT	DSS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
stool-2DSS__28	NA	NA	house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	WT	water	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
stool-2DSS__30	NA	NA	house mouse	2012-01-14	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	MMP-9 KO	water	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
stool-3DSS__2	NA	NA	house mouse	2012-02-15	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	WT	water	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
stool-3DSS__7	NA	NA	house mouse	2012-02-15	ENVO:00002003	ENVO:00002003	ENVO:00002003	Belgium	MMP9	50,883333 _ 4,7	WT	DSS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
